ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93621,7,2022,Elec- Agricultural,Y,0,0,
93621,8,2022,Elec- Agricultural,Y,0,0,
93621,9,2022,Elec- Agricultural,Y,0,0,
93622,7,2022,Elec- Agricultural,N,253,20125016,79546
93622,8,2022,Elec- Agricultural,N,253,15717720,62125
93622,9,2022,Elec- Agricultural,Y,476,14389133,30229
93624,7,2022,Elec- Agricultural,N,110,12347105,112246
93624,8,2022,Elec- Agricultural,N,111,10262221,92452
93624,9,2022,Elec- Agricultural,N,111,7442154,67046
93625,7,2022,Elec- Agricultural,Y,0,0,
93625,8,2022,Elec- Agricultural,Y,0,0,
93625,9,2022,Elec- Agricultural,Y,0,0,
93626,7,2022,Elec- Agricultural,Y,0,0,
93626,8,2022,Elec- Agricultural,Y,61,55325,907
93626,9,2022,Elec- Agricultural,Y,63,46781,743
93627,7,2022,Elec- Agricultural,Y,0,0,
93627,8,2022,Elec- Agricultural,Y,0,0,
93627,9,2022,Elec- Agricultural,Y,0,0,
93628,7,2022,Elec- Agricultural,Y,0,0,
93628,8,2022,Elec- Agricultural,Y,0,0,
93628,9,2022,Elec- Agricultural,Y,0,0,
93630,7,2022,Elec- Agricultural,Y,615,22680538,36879
93630,8,2022,Elec- Agricultural,Y,645,22387641,34710
93630,9,2022,Elec- Agricultural,Y,642,15476678,24107
93631,7,2022,Elec- Agricultural,N,490,7158440,14609
93631,8,2022,Elec- Agricultural,N,490,6957370,14199
93631,9,2022,Elec- Agricultural,N,489,5619002,11491
93635,7,2022,Elec- Agricultural,N,283,8717924,30805
93635,8,2022,Elec- Agricultural,N,283,7580883,26788
93635,9,2022,Elec- Agricultural,N,283,5808383,20524
93636,7,2022,Elec- Agricultural,Y,0,0,
93636,8,2022,Elec- Agricultural,Y,0,0,
93636,9,2022,Elec- Agricultural,Y,0,0,
93637,7,2022,Elec- Agricultural,N,673,38691746,57491
93637,8,2022,Elec- Agricultural,N,668,32166004,48153
93637,9,2022,Elec- Agricultural,N,668,22592918,33822
93638,7,2022,Elec- Agricultural,Y,424,17452486,41162
93638,8,2022,Elec- Agricultural,N,323,12016038,37201
