ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93405,4,2022,Elec- Agricultural,Y,0,0,
93405,5,2022,Elec- Agricultural,Y,0,0,
93405,6,2022,Elec- Agricultural,Y,0,0,
93420,4,2022,Elec- Agricultural,Y,750,16902564,22537
93420,5,2022,Elec- Agricultural,Y,796,27664359,34754
93420,6,2022,Elec- Agricultural,Y,1239,57956574,46777
93422,4,2022,Elec- Agricultural,Y,0,0,
93422,5,2022,Elec- Agricultural,Y,0,0,
93422,6,2022,Elec- Agricultural,Y,0,0,
93426,4,2022,Elec- Agricultural,Y,0,0,
93426,5,2022,Elec- Agricultural,Y,0,0,
93426,6,2022,Elec- Agricultural,Y,0,0,
93427,4,2022,Elec- Agricultural,Y,0,0,
93427,5,2022,Elec- Agricultural,Y,0,0,
93427,6,2022,Elec- Agricultural,Y,0,0,
93428,4,2022,Elec- Agricultural,Y,0,0,
93428,5,2022,Elec- Agricultural,Y,0,0,
93428,6,2022,Elec- Agricultural,Y,0,0,
93430,4,2022,Elec- Agricultural,Y,114,124295,1090
93430,5,2022,Elec- Agricultural,Y,0,0,
93430,6,2022,Elec- Agricultural,Y,116,190452,1642
93432,4,2022,Elec- Agricultural,Y,0,0,
93432,5,2022,Elec- Agricultural,Y,0,0,
93432,6,2022,Elec- Agricultural,Y,0,0,
93433,4,2022,Elec- Agricultural,Y,0,0,
93433,5,2022,Elec- Agricultural,Y,0,0,
93433,6,2022,Elec- Agricultural,Y,0,0,
93434,4,2022,Elec- Agricultural,Y,0,0,
93434,5,2022,Elec- Agricultural,Y,0,0,
93434,6,2022,Elec- Agricultural,Y,0,0,
93435,4,2022,Elec- Agricultural,Y,0,0,
93435,5,2022,Elec- Agricultural,Y,0,0,
93435,6,2022,Elec- Agricultural,Y,0,0,
93436,4,2022,Elec- Agricultural,Y,356,2093797,5881
93436,5,2022,Elec- Agricultural,Y,312,4267225,13677
93436,6,2022,Elec- Agricultural,Y,0,0,
93437,4,2022,Elec- Agricultural,Y,0,0,
93437,5,2022,Elec- Agricultural,Y,0,0,
93437,6,2022,Elec- Agricultural,Y,0,0,
93441,4,2022,Elec- Agricultural,Y,0,0,
93441,5,2022,Elec- Agricultural,Y,0,0,
93441,6,2022,Elec- Agricultural,Y,0,0,
93442,4,2022,Elec- Agricultural,Y,0,0,
93442,5,2022,Elec- Agricultural,Y,174,333212,1915
